"Var1","Freq"
"Phytophthora ramorum",2710
"Phytophthora austrocedri",103
"Phytophthora kernoviae",66
"Phytophthora syringae",54
"Phytophthora citricola",24
"Phytophthora hibernalis",21
"Phytophthora cactorum",20
"Phytophthora lateralis",16
"Phytophthora plurivora",13
"Phytophthora cambivora",9
"Phytophthora citrophthora",9
"Phytophthora infestans",8
"Phytophthora fragariae",7
"Phytophthora cinnamomi",6
"Phytophthora cryptogea",3
"Phytophthora gonapodyides",3
"Phytophthora pseudosyringae",3
"Phytophthora chlamydospora",2
"Phytophthora ilicis",2
"Phytophthora rubi",2
"Phytophthora bisheria",1
"Phytophthora fragariae var. fragariae",1
"Phytophthora nemorosa",1
"Phytophthora nicotianae",1
"Phytophthora primulae",1
"Phytophthora undulata",1
